Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","22.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","24","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","26.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","28.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20202022","2020-2022","%","30.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20162018","2016-2018","million No","8.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","8.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","10.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20192021","2019-2021","million No","11.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20202022","2020-2022","million No","12","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","17.3","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","17.3","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","19.8","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","22.6","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20202022","2020-2022","%","28.4","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","15.3","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","14.1","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","14.8","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","17.5","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20202022","2020-2022","%","23.5","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","19.4","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","20.4","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","24.8","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","27.8","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20202022","2020-2022","%","33.3","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20162018","2016-2018","million No","6.2","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","6.3","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20182020","2018-2020","million No","7.5","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20192021","2019-2021","million No","8.8","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20202022","2020-2022","million No","11.4","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20162018","2016-2018","million No","1.5","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","1.4","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20182020","2018-2020","million No","1.6","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20192021","2019-2021","million No","1.9","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20202022","2020-2022","million No","2.7","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20162018","2016-2018","million No","1.9","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","2.1","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20182020","2018-2020","million No","2.6","A","Official figure","Official estimate"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20192021","2019-2021","million No","3","A","Official figure","Official estimate integrated with FAO data"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20202022","2020-2022","million No","3.8","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","4.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","4.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","4.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","4.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20202022","2020-2022","%","4.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20162018","2016-2018","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20192021","2019-2021","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210011","Number of people undernourished (million) (3-year average)","20202022","2020-2022","million No","0.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","11","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","10","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","8.8","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","7.7","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20202022","2020-2022","%","7.5","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","9.3","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","9.1","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","7.7","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","6.7","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20202022","2020-2022","%","5.8","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","12.7","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","11","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","9.8","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20192021","2019-2021","%","8.7","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20202022","2020-2022","%","9.2","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20162018","2016-2018","million No","0.3","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","0.3","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20182020","2018-2020","million No","0.3","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20192021","2019-2021","million No","0.2","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20202022","2020-2022","million No","0.2","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20162018","2016-2018","million No","0.1","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","0.1","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20182020","2018-2020","million No","<0.1","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20192021","2019-2021","million No","<0.1","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20202022","2020-2022","million No","<0.1","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20162018","2016-2018","million No","0.2","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","0.1","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20182020","2018-2020","million No","0.1","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20192021","2019-2021","million No","0.1","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","008","Albania","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20202022","2020-2022","million No","0.1","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","2.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20202022","2020-2022","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20162018","2016-2018","million No","1.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","012","Algeria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20182020","2018-2020","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","012","Algeria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20192021","2019-2021","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","012","Algeria","6132","Value","210011","Number of people undernourished (million) (3-year average)","20202022","2020-2022","million No","","Q","Missing value; suppressed",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20162018","2016-2018","%","11.4","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","9.3","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20182020","2018-2020","%","6.9","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20192021","2019-2021","%","6.2","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20202022","2020-2022","%","5.6","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20162018","2016-2018","%","10.3","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","8.4","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20182020","2018-2020","%","6.7","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20192021","2019-2021","%","7.2","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20202022","2020-2022","%","6.9","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20162018","2016-2018","%","12.5","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","10.2","A","Official figure","FAO data"
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20182020","2018-2020","%","7.2","A","Official figure","FAO data"
